07082021_Tube_001_002.fcs,0,0,681
07082021_Tube_002_003.fcs,0,0,682
07082021_Tube_003_004.fcs,0,0,LuxR
07082021_Tube_004_005.fcs,e-6,0,LuxR
07082021_Tube_005_006.fcs,e-7,0,LuxR
07082021_Tube_006_007.fcs,e-8,0,LuxR
07082021_Tube_007_008.fcs,e-9,0,LuxR
07082021_Tube_008_009.fcs,e-10,0,LuxR
07082021_Tube_009_010.fcs,e-11,0,LuxR
07082021_Tube_010_011.fcs,e-12,0,LuxR
07082021_Tube_0011_012.fcs,e-6,0.005,LuxR
07082021_Tube_0012_013.fcs,e-7,0.005,LuxR
07082021_Tube_0013_014.fcs,e-8,0.005,LuxR
07082021_Tube_014_015.fcs,e-9,0.005,LuxR
07082021_Tube_015_016.fcs,e-10,0.005,LuxR
07082021_Tube_016_017.fcs,e-11,0.005,LuxR
07082021_Tube_017_018.fcs,e-12,0.005,LuxR
07082021_Tube_018_019.fcs,,0.00,LuxR
07082021_Tube_019_020.fcs,e-6,0.01,LuxR
07082021_Tube_020_021.fcs,e-7,0.01,LuxR
07082021_Tube_021_022.fcs,e-8,0.01,LuxR
07082021_Tube_022_023.fcs,e-9,0.01,LuxR
07082021_Tube_023_024.fcs,e-10,0.01,LuxR
07082021_Tube_024_025.fcs,e-11,0.01,LuxR
07082021_Tube_025_026.fcs,e-12,0.01,LuxR
07082021_Tube_026_027.fcs,0,0.01,LuxR
07082021_Tube_027_028.fcs,e-6,0.05,LuxR
07082021_Tube_028_029.fcs,e-7,0.05,LuxR
07082021_Tube_029_030.fcs,e-8,0.05,LuxR
07082021_Tube_030_031.fcs,e-9,0.05,LuxR
07082021_Tube_031_032.fcs,e-10,0.05,LuxR
07082021_Tube_032_033.fcs,e-11,0.05,LuxR
07082021_Tube_033_034.fcs,e-12,0.05,LuxR
07082021_Tube_034_035.fcs,0,0.05,LuxR
07082021_Tube_035_036.fcs,e-6,0.1,LuxR
07082021_Tube_036_037.fcs,e-7,0.1,LuxR
07082021_Tube_037_038.fcs,e-8,0.1,LuxR
07082021_Tube_038_039.fcs,e-9,0.1,LuxR
07082021_Tube_039_040.fcs,e-10,0.1,LuxR
07082021_Tube_040_041.fcs,e-11,0.1,LuxR
07082021_Tube_041_042.fcs,e-12,0.1,LuxR
07082021_Tube_042_043.fcs,0,0.1,LuxR
07082021_Tube_043_044.fcs,e-7,0.5,LuxR
07082021_Tube_044_045.fcs,e-8,0.5,LuxR
07082021_Tube_045_046.fcs,e-9,0.5,LuxR
07082021_Tube_046_047.fcs,e-10,0.5,LuxR
07082021_Tube_047_048.fcs,e-11,0.5,LuxR
07082021_Tube_048_049.fcs,e-12,0.5,LuxR
07082021_Tube_049_050.fcs,0,0.5,LuxR
